date,macro_factor,Close,expected_return,trend_signal,breadth_signal,final_return,signal
1987-04-01,1.0,288.3599853515625,0.0306834983439606,True,HEALTHY,0.0306834983439606,NEUTRAL
1987-07-01,1.0,318.6600036621094,0.0204049102259164,True,HEALTHY,0.0204049102259164,NEUTRAL
1987-10-01,1.0,251.7899932861328,0.0861606898103733,False,HEALTHY,0.0861606898103733,BEAR
1988-01-01,1.0,257.07000732421875,0.085502938094488,False,HEALTHY,0.085502938094488,BEAR
1988-04-01,1.0,261.3299865722656,0.0849454763927258,False,HEALTHY,0.0849454763927258,BEAR
1988-07-01,1.0,272.0199890136719,0.0792568080520733,True,HEALTHY,0.0792568080520733,BULL
1990-01-01,1.0,329.0799865722656,0.0607470242841793,False,HEALTHY,0.0607470242841793,BEAR
1990-10-01,1.0,304.0,0.093088659825248,False,HEALTHY,0.093088659825248,BEAR
1991-01-01,1.0,343.92999267578125,0.0724587578928663,True,HEALTHY,0.0724587578928663,BULL
1991-04-01,1.0,375.3399963378906,0.059715234517738,True,HEALTHY,0.059715234517738,BULL
1991-07-01,1.0,387.80999755859375,0.0568767818521588,True,HEALTHY,0.0568767818521588,BULL
1991-10-01,1.0,392.4500122070313,0.0577969043883421,True,HEALTHY,0.0577969043883421,BULL
1992-01-01,1.0,408.7799987792969,0.0531696231961578,True,HEALTHY,0.0531696231961578,BULL
1992-04-01,1.0,414.9500122070313,0.0556769287716539,True,HEALTHY,0.0556769287716539,BULL
1992-07-01,1.0,424.2099914550781,0.0550364634329079,True,HEALTHY,0.0550364634329079,BULL
1992-10-01,1.0,418.6799926757813,0.0655026836484329,True,HEALTHY,0.0655026836484329,BULL
1993-01-01,1.0,438.7799987792969,0.0623927928514003,True,HEALTHY,0.0623927928514003,BULL
1993-04-01,1.0,440.1900024414063,0.0664938866163854,True,HEALTHY,0.0664938866163854,BULL
1993-07-01,1.0,448.1300048828125,0.0669494877380095,True,HEALTHY,0.0669494877380095,BULL
1993-10-01,0.95,467.8299865722656,0.0622124052960872,True,HEALTHY,0.05910178503128284,NEUTRAL
1994-04-01,0.62,450.9100036621094,0.0768135934704135,False,HEALTHY,0.04762442795165637,BEAR
1994-07-01,0.5,458.260009765625,0.075637457785762,False,HEALTHY,0.037818728892881,BEAR
1996-01-01,0.3,636.02001953125,0.0306803982039611,True,HEALTHY,0.009204119461188329,BEAR
1996-04-01,0.35,654.1699829101562,0.0350916945017717,True,HEALTHY,0.012282093075620094,BEAR
1996-07-01,0.63,639.9500122070312,0.0514780502871401,True,HEALTHY,0.03243117168089826,BEAR
1996-10-01,0.63,705.27001953125,0.0394970069026651,True,HEALTHY,0.02488311434867901,BEAR
1997-01-01,1.0,786.1599731445312,0.0280330530627321,True,HEALTHY,0.0280330530627321,NEUTRAL
1997-04-01,1.0,801.3400268554688,0.0369074133267887,True,HEALTHY,0.0369074133267887,NEUTRAL
1997-07-01,1.0,954.3099975585938,0.0084782916797281,True,HEALTHY,0.0084782916797281,NEUTRAL
1997-10-01,1.0,914.6199951171876,0.0347937049185236,True,HEALTHY,0.0347937049185236,NEUTRAL
1998-01-01,1.0,980.280029296875,0.031733563729389,True,HEALTHY,0.031733563729389,NEUTRAL
1998-04-01,0.74,1111.75,0.0168060247147597,True,HEALTHY,0.012436458288922177,BEAR
1998-07-01,0.49,1120.6700439453125,0.0314359805863418,True,HEALTHY,0.01540363048730748,BEAR
1998-10-01,0.92,1098.6700439453125,0.0473699515891466,True,HEALTHY,0.04358035546201487,NEUTRAL
1999-01-01,0.92,1279.6400146484375,0.0246902733715938,True,HEALTHY,0.022715051501866295,NEUTRAL
1999-04-01,1.0,1335.1800537109375,0.0293474747833054,True,HEALTHY,0.0293474747833054,NEUTRAL
1999-07-01,1.0,1328.719970703125,0.0427661735328453,True,HEALTHY,0.0427661735328453,NEUTRAL
1999-10-01,1.0,1362.9300537109375,0.0470946551474038,True,HEALTHY,0.0470946551474038,NEUTRAL
2001-01-01,1.0,1366.010009765625,0.0818487079741467,False,HEALTHY,0.0818487079741467,BEAR
2001-10-01,1.0,1059.780029296875,0.1202159486017101,False,HEALTHY,0.1202159486017101,BEAR
2002-01-01,1.0,1130.199951171875,0.1050096500836037,False,HEALTHY,0.1050096500836037,BEAR
2002-04-01,1.0,1076.9200439453125,0.1077794176231686,False,HEALTHY,0.1077794176231686,BEAR
2002-07-01,1.0,911.6199951171876,0.1274150585301789,False,HEALTHY,0.1274150585301789,BEAR
2002-10-01,1.0,885.760009765625,0.122011711894543,False,HEALTHY,0.122011711894543,BEAR
2003-01-01,1.0,855.7000122070312,0.1194417853511887,False,HEALTHY,0.1194417853511887,BEAR
2003-04-01,1.0,916.9199829101562,0.1006387024306263,True,HEALTHY,0.1006387024306263,BULL
2003-07-01,1.0,990.3099975585938,0.0800656143771099,True,HEALTHY,0.0800656143771099,BULL
2003-10-01,1.0,1050.7099609375,0.0662566998845893,True,HEALTHY,0.0662566998845893,BULL
2004-01-01,1.0,1131.1300048828125,0.0487555127132865,True,HEALTHY,0.0487555127132865,NEUTRAL
2004-04-01,1.0,1107.300048828125,0.0540834089247831,True,HEALTHY,0.0540834089247831,BULL
2004-07-01,1.0,1101.719970703125,0.0589303444451558,False,HEALTHY,0.0589303444451558,BEAR
2004-10-01,1.0,1130.199951171875,0.0599484363712366,True,HEALTHY,0.0599484363712366,BULL
2005-04-01,1.0,1156.8499755859375,0.0703236426580699,True,HEALTHY,0.0703236426580699,BULL
2005-07-01,1.0,1234.1800537109375,0.0619767574599698,True,HEALTHY,0.0619767574599698,BULL
2007-01-01,1.0,1438.239990234375,0.0541717348840049,True,HEALTHY,0.0541717348840049,BULL
2007-10-01,1.0,1549.3800048828125,0.0553513102897812,True,HEALTHY,0.0553513102897812,BULL
2008-01-01,1.0,1378.550048828125,0.0833880438249853,False,HEALTHY,0.0833880438249853,BEAR
2008-04-01,1.0,1385.5899658203125,0.0832770277058595,False,HEALTHY,0.0832770277058595,BEAR
2008-07-01,1.0,1267.3800048828125,0.1007537523491684,False,HEALTHY,0.1007537523491684,BEAR
2008-10-01,1.0,968.75,0.1405247563449751,False,HEALTHY,0.1405247563449751,BEAR
2009-01-01,1.0,825.8800048828125,0.1549749965763857,False,HEALTHY,0.1549749965763857,BEAR
2009-04-01,1.0,872.8099975585938,0.1394281078400912,False,HEALTHY,0.1394281078400912,BEAR
2009-07-01,1.0,987.47998046875,0.1115591394930652,True,HEALTHY,0.1115591394930652,BULL
2009-10-01,1.0,1036.18994140625,0.0937440532404524,True,HEALTHY,0.0937440532404524,BULL
2010-01-01,1.0,1073.8699951171875,0.0791216734905456,True,HEALTHY,0.0791216734905456,BULL
2010-04-01,1.0,1186.68994140625,0.0528993297462357,True,HEALTHY,0.0528993297462357,BULL
2010-07-01,1.0,1101.5999755859375,0.0628988887270835,True,HEALTHY,0.0628988887270835,BULL
2010-10-01,1.0,1183.260009765625,0.0463820119728293,True,HEALTHY,0.0463820119728293,NEUTRAL
2011-04-01,1.0,1363.6099853515625,0.0377735079714918,True,HEALTHY,0.0377735079714918,NEUTRAL
2011-07-01,1.0,1292.280029296875,0.059675701411426,True,HEALTHY,0.059675701411426,BULL
2012-10-01,1.0,1412.1600341796875,0.0655147020024039,True,HEALTHY,0.0655147020024039,BULL
2013-01-01,1.0,1498.1099853515625,0.0568117834758588,True,HEALTHY,0.0568117834758588,BULL
2013-04-01,1.0,1597.5699462890625,0.0468057701034767,True,HEALTHY,0.0468057701034767,NEUTRAL
2013-07-01,1.0,1685.72998046875,0.040949621763587,True,HEALTHY,0.040949621763587,NEUTRAL
2013-10-01,1.0,1756.5400390625,0.0412584390362968,True,HEALTHY,0.0412584390362968,NEUTRAL
2014-01-01,1.0,1782.5899658203125,0.0483429415059453,True,HEALTHY,0.0483429415059453,NEUTRAL
2014-04-01,1.0,1883.949951171875,0.0443801616257642,True,HEALTHY,0.0443801616257642,NEUTRAL
2014-07-01,1.0,1930.6700439453125,0.0491397825749463,True,HEALTHY,0.0491397825749463,NEUTRAL
2014-10-01,1.0,2018.050048828125,0.048685036403421,True,HEALTHY,0.048685036403421,NEUTRAL
2015-01-01,1.0,1994.989990234375,0.0606567416819495,True,HEALTHY,0.0606567416819495,BULL
2015-04-01,1.0,2085.510009765625,0.0586955942397591,True,HEALTHY,0.0586955942397591,BULL
2015-07-01,1.0,2103.840087890625,0.0632276650297438,True,HEALTHY,0.0632276650297438,BULL
2015-10-01,1.0,2079.360107421875,0.0698129740659435,True,HEALTHY,0.0698129740659435,BULL
2016-01-01,1.0,1940.239990234375,0.086434790435815,False,HEALTHY,0.086434790435815,BEAR
2016-04-01,1.0,2065.300048828125,0.0758319642880209,True,HEALTHY,0.0758319642880209,BULL
2016-07-01,1.0,2173.60009765625,0.0675538702527632,True,HEALTHY,0.0675538702527632,BULL
2018-01-01,1.0,2823.81005859375,0.0368122487256008,True,HEALTHY,0.0368122487256008,NEUTRAL
2018-10-01,1.0,2711.739990234375,0.06874281196769,False,HEALTHY,0.06874281196769,BEAR
2019-01-01,1.0,2704.10009765625,0.0735419945331828,False,HEALTHY,0.0735419945331828,BEAR
2019-04-01,0.92,2945.830078125,0.0601706181782456,True,HEALTHY,0.055356968723985954,NEUTRAL
2019-07-01,1.0,2980.3798828125,0.0622262837482087,True,HEALTHY,0.0622262837482087,BULL
2019-10-01,0.78,3037.56005859375,0.0625970088983086,True,HEALTHY,0.04882566694068071,BEAR
2020-01-01,0.78,3225.52001953125,0.0540375378233928,True,HEALTHY,0.04214927950224639,BEAR
2020-04-01,1.0,2912.429931640625,0.0772977365621092,False,HEALTHY,0.0772977365621092,BEAR
2020-07-01,1.0,3271.1201171875,0.0561496133103898,True,HEALTHY,0.0561496133103898,BULL
2020-10-01,1.0,3269.9599609375,0.0612379448899464,True,HEALTHY,0.0612379448899464,BULL
2021-01-01,1.0,3714.239990234375,0.0418731255072144,True,HEALTHY,0.0418731255072144,NEUTRAL
2021-04-01,1.0,4181.169921875,0.0235835812470679,True,HEALTHY,0.0235835812470679,NEUTRAL
2021-07-01,1.0,4395.259765625,0.0242518932389094,True,HEALTHY,0.0242518932389094,NEUTRAL
2021-10-01,1.0,4605.3798828125,0.0258724810288209,True,WEAK,0.0258724810288209,BEAR
2022-04-01,0.48,4131.93017578125,0.0730232142135065,False,HEALTHY,0.03505114282248312,BEAR
2022-07-01,0.68,4130.2900390625,0.0786364602105254,False,WEAK,0.05347279294315727,BEAR
2024-01-01,0.68,4845.64990234375,0.0500163815253994,True,HEALTHY,0.0340111394372716,BEAR
2024-04-01,0.31,5035.68994140625,0.0464242860308283,True,HEALTHY,0.014391528669556774,BEAR
2024-07-01,0.36,5522.2998046875,0.0338723543234886,True,FRAGILE,0.012194047556455895,BEAR
2024-10-01,0.86,5705.4501953125,0.0384995463410188,True,HEALTHY,0.03310960985327617,NEUTRAL
2025-01-01,0.86,6040.52978515625,0.0370799325081035,True,WEAK,0.03188874195696901,BEAR
2025-04-01,1.0,5569.06005859375,0.0648483001388505,False,WEAK,0.0648483001388505,BEAR
2025-07-01,1.0,6339.39013671875,0.044993255109803,True,HEALTHY,0.044993255109803,NEUTRAL
2025-08-01,1.0,6460.259765625,0.0440703594763311,True,WEAK,0.0440703594763311,BEAR
2025-09-01,1.0,6688.4599609375,0.0401174758317129,True,HEALTHY,0.0401174758317129,NEUTRAL
2025-10-01,1.0,6840.2001953125,0.0394321947714604,True,HEALTHY,0.0394321947714604,NEUTRAL
2025-11-01,1.0,6849.08984375,0.0430796859320644,True,FRAGILE,0.0430796859320644,NEUTRAL
2025-12-01,1.0,6845.5,0.0466937628800939,True,WEAK,0.0466937628800939,BEAR
2026-01-01,1.0,6939.02978515625,0.0469698085984236,True,HEALTHY,0.0469698085984236,NEUTRAL
2026-02-01,1.0,6917.847517752459,0.0472728277385812,True,HEALTHY,0.0472728277385812,NEUTRAL
